;estado;sigla;regiao;cidade;populacao;pib;pib_percapita
1687;PARA;PA;NORTE;Belem;1437600;16526989.0;11496.24023438
1688;PARA;PA;NORTE;Santo Antonio do Taua;26855;104139.125;3877.83007812
1689;PARA;PA;NORTE;Bujaru;23654;73291.046875;3098.45996094
1690;PARA;PA;NORTE;Benevides;46611;519243.1875;11139.9296875
1691;PARA;PA;NORTE;Concordia do Para;22251;85260.5703125;3831.76000977
1692;PARA;PA;NORTE;Brasil Novo;19754;78731.859375;3985.62011719
1693;PARA;PA;NORTE;Ipixuna do Para;44396;220101.859375;4957.70019531
1694;PARA;PA;NORTE;Agua Azul do Norte;31216;187433.203125;6004.39990234
1695;PARA;PA;NORTE;Vitoria do Xingu;9664;68070.3671875;7043.70996094
1696;PARA;PA;NORTE;Santarem;276665;1765658.375;6381.93994141
1697;PARA;PA;NORTE;Bannach;3947;30876.3671875;7822.74023438
1698;PARA;PA;NORTE;Sao Miguel do Guama;44818;171330.625;3822.81005859
1699;PARA;PA;NORTE;Oeiras do Para;26796;89607.3984375;3344.06005859
1700;PARA;PA;NORTE;Santa Maria do Para;23202;99888.1484375;4305.14990234
1701;PARA;PA;NORTE;Faro;19585;40236.5703125;2054.45996094
1702;PARAIBA;PB;NORDESTE;Bayeux;96198;604882.125;6287.89013672
1703;PARAIBA;PB;NORDESTE;Serra Branca;12816;62123.3359375;4847.33007812
1704;PARAIBA;PB;NORDESTE;Bernardino Batista;3315;11964.66210938;3609.25
1705;PARAIBA;PB;NORDESTE;Lagoa;4949;19203.7109375;3880.32006836
1706;PARAIBA;PB;NORDESTE;Pocinhos;16538;68767.046875;4158.12011719
1707;PARAIBA;PB;NORDESTE;Puxinana;13354;59902.4921875;4485.72998047
1708;PARAIBA;PB;NORDESTE;Sao Sebastiao do Umbuzeiro;3170;15186.453125;4790.68017578
1709;PARAIBA;PB;NORDESTE;Cabedelo;51865;2332828.25;44978.8515625
1710;PARAIBA;PB;NORDESTE;Patos;100732;615180.875;6107.10009766
1711;PARAIBA;PB;NORDESTE;Riachao do Bacamarte;4319;17855.66796875;4134.20996094
1712;PARAIBA;PB;NORDESTE;Alcantil;5232;22410.37304688;4283.33007812
1713;PARAIBA;PB;NORDESTE;Barra de Santana;8909;34139.8046875;3832.06005859
1714;PARAIBA;PB;NORDESTE;Alagoa Nova;19799;123786.2734375;6252.14990234
